table_name,columns,drift,pearson_corr_loss,spearman_corr_loss,src_dataset,dst_dataset
person_info,"person_id,info_type_id",0.0653172113539597,0.0019666561065809,0.0009083723207756,imdb_2014,imdb_2015
title,production_year,0.0317988714327936,0.0036190127058661,0.0049692556490489,imdb_2014,imdb_2015
aka_name,person_id,0.1543153492922413,0.0,0.0,imdb,imdb_2013
aka_title,"kind_id,production_year",0.0147707375112951,0.0522509043419198,0.0307412141046776,imdb,imdb_2013
movie_companies,"movie_id,company_id",0.0848660390723568,0.007350686613736,0.0084617105932206,imdb,imdb_2013
movie_keyword,"movie_id,keyword_id",0.1001313129768883,0.0015121371343988,0.0038634908108563,imdb,imdb_2013
movie_link,"movie_id,linked_movie_id,link_type_id",0.4761956984984268,0.2677163295105165,0.2184604193051742,imdb,imdb_2013
person_info,"person_id,info_type_id",0.0989424078819198,0.0006967384995299,0.0005772884224397,imdb,imdb_2013
title,production_year,0.116006480504581,0.0122739966356695,0.0238393257026478,imdb,imdb_2013
aka_name,person_id,0.157868035097844,0.0,0.0,imdb,imdb_2014
aka_title,"kind_id,production_year",0.0320725598259086,0.0471783638379062,0.0319939442384338,imdb,imdb_2014
movie_companies,"movie_id,company_id",0.1395316084821293,0.0170439709567609,0.0198229395287673,imdb,imdb_2014
movie_keyword,"movie_id,keyword_id",0.1478735407767486,0.0001303994183957,0.003142737690555,imdb,imdb_2014
movie_link,"movie_id,linked_movie_id,link_type_id",0.5112470641738521,0.2738238075524667,0.2213783806798862,imdb,imdb_2014
person_info,"person_id,info_type_id",0.0971281482499608,0.0008256171296113,0.0010040365558066,imdb,imdb_2014
title,production_year,0.1501621776432338,0.0111188282485685,0.0156940356145434,imdb,imdb_2014
aka_name,person_id,0.16394630604545693,0.0,0.0,imdb,imdb_2016
aka_title,"kind_id,production_year",0.06787789339027477,0.06910425774079819,0.07255750442073873,imdb,imdb_2016
movie_companies,"movie_id,company_id",0.18626512921977825,0.03825108711491205,0.04463955254765847,imdb,imdb_2016
movie_keyword,"movie_id,keyword_id",0.19291421593784502,0.01600731825584359,0.01938288937267577,imdb,imdb_2016
movie_link,"movie_id,linked_movie_id,link_type_id",0.2520761386253983,0.19141701507029454,0.21098758253597824,imdb,imdb_2016
person_info,"person_id,info_type_id",0.12678804428244464,0.0015840619525929953,0.0001412042410181731,imdb,imdb_2016
title,production_year,0.23852105280059407,0.020786896761273602,0.025186341379519063,imdb,imdb_2016
