x, 0, 0, 2025-12-17 13:26:31.923466, 2a.sql, 5.355, 620.61, PG
0, 11, 0, 2025-12-17 13:34:07.274594, 5a.sql, 266.376, 676.60, Bao
0, 11, 1, 2025-12-17 13:34:08.583443, 5a.sql, 259.512, 673.033, Bao
0, 11, 2, 2025-12-17 13:34:10.664524, 5a.sql, 252.026, 591.478, Bao
0, 12, 0, 2025-12-17 13:36:29.173316, 29a.sql, 61752.723, 12995.238, Bao
0, 12, 1, 2025-12-17 13:38:45.496217, 29a.sql, 61229.042, 12707.728, Bao
0, 12, 2, 2025-12-17 13:42:15.800935, 29a.sql, 59604.783, 12292.941, Bao
0, 13, 0, 2025-12-17 13:42:16.800750, 6b.sql, 259.015, 352.421, Bao
0, 13, 1, 2025-12-17 13:42:17.764012, 6b.sql, 258.945, 330.439, Bao
0, 13, 2, 2025-12-17 13:42:19.222425, 6b.sql, 225.35, 317.631, Bao
0, 14, 0, 2025-12-17 13:42:27.660506, 27c.sql, 1907.268, 4478.952, Bao
0, 14, 1, 2025-12-17 13:42:35.946846, 27c.sql, 1914.354, 4299.159, Bao
0, 14, 2, 2025-12-17 13:42:50.807030, 27c.sql, 1876.61, 4191.989, Bao
0, 15, 0, 2025-12-17 13:42:53.445700, 31a.sql, 1081.591, 351.625, Bao
0, 15, 1, 2025-12-17 13:42:56.080304, 31a.sql, 1081.017, 345.635, Bao
0, 15, 2, 2025-12-17 13:42:59.982471, 31a.sql, 1043.009, 300.494, Bao
0, 16, 0, 2025-12-17 13:43:02.336576, 11c.sql, 336.141, 1592.652, Bao
0, 16, 1, 2025-12-17 13:43:04.819047, 11c.sql, 335.088, 1600.301, Bao
0, 16, 2, 2025-12-17 13:43:08.779535, 11c.sql, 301.54, 1509.362, Bao
0, 17, 0, 2025-12-17 13:43:18.679973, 17a.sql, 300.067, 9182.714, Bao
0, 17, 1, 2025-12-17 13:43:28.510407, 17a.sql, 299.06, 9132.33, Bao
0, 17, 2, 2025-12-17 13:43:46.912436, 17a.sql, 263.643, 8928.142, Bao
0, 18, 0, 2025-12-17 13:43:48.793109, 18b.sql, 297.707, 1187.529, Bao
0, 18, 1, 2025-12-17 13:43:50.687528, 18b.sql, 302.503, 1187.304, Bao
0, 18, 2, 2025-12-17 13:43:53.655177, 18b.sql, 257.613, 924.99, Bao
0, 19, 0, 2025-12-17 13:43:58.806595, 12c.sql, 340.516, 4264.02, Bao
0, 19, 1, 2025-12-17 13:44:03.959279, 12c.sql, 336.876, 4263.6, Bao
0, 19, 2, 2025-12-17 13:44:13.073534, 12c.sql, 302.775, 4039.48, Bao
0, 20, 0, 2025-12-17 13:44:30.211608, 17b.sql, 296.361, 16445.831, Bao
0, 20, 1, 2025-12-17 13:44:47.336990, 17b.sql, 301.112, 16431.745, Bao
0, 20, 2, 2025-12-17 13:45:20.002226, 17b.sql, 263.963, 16218.124, Bao
0, 21, 0, 2025-12-17 13:45:21.692951, 13b.sql, 392.133, 811.722, Bao
0, 21, 1, 2025-12-17 13:45:23.345626, 13b.sql, 384.878, 781.412, Bao
0, 21, 2, 2025-12-17 13:45:25.866694, 13b.sql, 346.889, 611.383, Bao
0, 22, 0, 2025-12-17 13:45:50.005715, 18a.sql, 295.957, 23443.041, Bao
0, 22, 1, 2025-12-17 13:46:12.669128, 18a.sql, 298.027, 21964.43, Bao
0, 22, 2, 2025-12-17 13:46:56.481456, 18a.sql, 264.514, 21617.894, Bao
0, 23, 0, 2025-12-17 13:49:07.187317, 29c.sql, 61275.427, 7338.709, Bao
0, 23, 1, 2025-12-17 13:51:18.848588, 29c.sql, 61554.35, 7212.431, Bao
0, 23, 2, 2025-12-17 13:54:38.984748, 29c.sql, 59656.598, 7131.763, Bao
0, 24, 0, 2025-12-17 13:54:40.684184, 1d.sql, 250.582, 1107.722, Bao
0, 24, 1, 2025-12-17 13:54:42.429201, 1d.sql, 262.12, 1117.318, Bao
0, 24, 2, 2025-12-17 13:54:45.308389, 1d.sql, 237.065, 1040.87, Bao
1, 0, 0, 2025-12-17 13:54:50.135521, 1d.sql, 244.39, 82.928, Bao
1, 0, 1, 2025-12-17 13:54:50.832494, 1d.sql, 258.833, 82.57, Bao
1, 0, 2, 2025-12-17 13:54:51.780902, 1d.sql, 235.2, 81.631, Bao
1, 1, 0, 2025-12-17 13:54:54.263396, 16c.sql, 344.845, 1685.306, Bao
1, 1, 1, 2025-12-17 13:54:56.738995, 16c.sql, 345.014, 1688.295, Bao
1, 1, 2, 2025-12-17 13:55:00.818152, 16c.sql, 305.062, 1481.594, Bao
1, 2, 0, 2025-12-17 13:55:09.386522, 17f.sql, 304.517, 7857.90, Bao
1, 2, 1, 2025-12-17 13:55:17.944498, 17f.sql, 303.486, 7853.468, Bao
1, 2, 2, 2025-12-17 13:55:33.755641, 17f.sql, 261.828, 7571.062, Bao
1, 3, 0, 2025-12-17 13:55:35.362296, 8a.sql, 300.318, 871.801, Bao
1, 3, 1, 2025-12-17 13:55:36.928971, 8a.sql, 298.585, 870.295, Bao
1, 3, 2, 2025-12-17 13:55:39.631992, 8a.sql, 272.416, 840.257, Bao
1, 4, 0, 2025-12-17 13:55:40.865424, 2b.sql, 263.86, 598.482, Bao
1, 4, 1, 2025-12-17 13:55:42.086334, 2b.sql, 261.48, 602.468, Bao
1, 4, 2, 2025-12-17 13:55:43.934421, 2b.sql, 219.595, 519.795, Bao
1, 5, 0, 2025-12-17 13:55:56.200886, 28c.sql, 5423.157, 1225.589, Bao
1, 5, 1, 2025-12-17 13:56:08.435925, 28c.sql, 5411.558, 1243.037, Bao
1, 5, 2, 2025-12-17 13:56:26.584617, 28c.sql, 5243.465, 1062.34, Bao
1, 6, 0, 2025-12-17 13:56:28.454412, 15c.sql, 458.746, 842.116, Bao
1, 6, 1, 2025-12-17 13:56:30.357171, 15c.sql, 466.691, 856.169, Bao
1, 6, 2, 2025-12-17 13:56:33.253803, 15c.sql, 426.159, 686.378, Bao
1, 7, 0, 2025-12-17 13:56:34.000525, 32a.sql, 272.712, 101.718, Bao
1, 7, 1, 2025-12-17 13:56:34.741296, 32a.sql, 268.931, 101.363, Bao
1, 7, 2, 2025-12-17 13:56:35.733336, 32a.sql, 232.616, 98.918, Bao
1, 8, 0, 2025-12-17 13:56:36.891784, 15b.sql, 463.032, 120.686, Bao
1, 8, 1, 2025-12-17 13:56:38.040746, 15b.sql, 459.442, 120.984, Bao
1, 8, 2, 2025-12-17 13:56:39.643481, 15b.sql, 427.935, 113.215, Bao
1, 9, 0, 2025-12-17 13:56:42.902357, 20a.sql, 479.745, 2190.789, Bao
1, 9, 1, 2025-12-17 13:56:46.160999, 20a.sql, 492.65, 2175.491, Bao
1, 9, 2, 2025-12-17 13:56:51.699962, 20a.sql, 453.372, 1972.439, Bao
1, 10, 0, 2025-12-17 13:56:53.137896, 9c.sql, 346.43, 642.667, Bao
1, 10, 1, 2025-12-17 13:56:54.561526, 9c.sql, 336.287, 637.852, Bao
1, 10, 2, 2025-12-17 13:56:56.781024, 9c.sql, 320.452, 577.239, Bao
1, 11, 0, 2025-12-17 13:56:58.014568, 2a.sql, 260.839, 611.392, Bao
1, 11, 1, 2025-12-17 13:56:59.244564, 2a.sql, 261.188, 610.799, Bao
1, 11, 2, 2025-12-17 13:57:01.121096, 2a.sql, 221.078, 527.051, Bao
1, 12, 0, 2025-12-17 13:57:08.144805, 26c.sql, 1303.817, 4294.175, Bao
1, 12, 1, 2025-12-17 13:57:15.190855, 26c.sql, 1305.494, 4311.23, Bao
1, 12, 2, 2025-12-17 13:57:27.105892, 26c.sql, 1260.603, 4000.804, Bao
1, 13, 0, 2025-12-17 13:57:31.412524, 30b.sql, 1815.926, 538.154, Bao
1, 13, 1, 2025-12-17 13:57:35.696961, 30b.sql, 1808.318, 531.391, Bao
1, 13, 2, 2025-12-17 13:57:42.137623, 30b.sql, 1780.42, 441.922, Bao
1, 14, 0, 2025-12-17 13:57:43.032395, 5c.sql, 268.105, 263.914, Bao
1, 14, 1, 2025-12-17 13:57:43.909948, 5c.sql, 250.4, 264.093, Bao
1, 14, 2, 2025-12-17 13:57:45.205273, 5c.sql, 242.347, 259.11, Bao
1, 15, 0, 2025-12-17 13:57:46.089872, 3a.sql, 244.249, 288.932, Bao
1, 15, 1, 2025-12-17 13:57:46.989734, 3a.sql, 257.139, 287.039, Bao
1, 15, 2, 2025-12-17 13:57:48.234355, 3a.sql, 215.849, 213.237, Bao
1, 16, 0, 2025-12-17 13:57:58.071936, 17a.sql, 299.963, 9136.787, Bao
1, 16, 1, 2025-12-17 13:58:07.856285, 17a.sql, 302.677, 9080.976, Bao
1, 16, 2, 2025-12-17 13:58:26.332016, 17a.sql, 260.346, 8965.998, Bao
1, 17, 0, 2025-12-17 13:58:27.267087, 11a.sql, 339.544, 163.526, Bao
1, 17, 1, 2025-12-17 13:58:28.198878, 11a.sql, 333.003, 165.404, Bao
1, 17, 2, 2025-12-17 13:58:29.491585, 11a.sql, 296.786, 149.442, Bao
1, 18, 0, 2025-12-17 13:58:31.082349, 19b.sql, 620.111, 240.048, Bao
1, 18, 1, 2025-12-17 13:58:32.659832, 19b.sql, 615.051, 238.642, Bao
1, 18, 2, 2025-12-17 13:58:35.013035, 19b.sql, 593.182, 238.698, Bao
1, 19, 0, 2025-12-17 13:58:43.535475, 17f.sql, 291.062, 7837.961, Bao
1, 19, 1, 2025-12-17 13:58:52.111464, 17f.sql, 303.905, 7877.805, Bao
1, 19, 2, 2025-12-17 13:59:07.969298, 17f.sql, 259.719, 7590.753, Bao
1, 20, 0, 2025-12-17 13:59:10.448667, 16c.sql, 343.953, 1690.2, Bao
1, 20, 1, 2025-12-17 13:59:12.913268, 16c.sql, 344.173, 1682.694, Bao
1, 20, 2, 2025-12-17 13:59:16.983953, 16c.sql, 304.889, 1480.36, Bao
1, 21, 0, 2025-12-17 13:59:17.944747, 8b.sql, 303.321, 256.631, Bao
1, 21, 1, 2025-12-17 13:59:18.884691, 8b.sql, 286.313, 256.042, Bao
1, 21, 2, 2025-12-17 13:59:20.264829, 8b.sql, 269.561, 246.032, Bao
1, 22, 0, 2025-12-17 13:59:25.083332, 6d.sql, 250.66, 4212.714, Bao
1, 22, 1, 2025-12-17 13:59:29.932033, 6d.sql, 263.48, 4223.12, Bao
1, 22, 2, 2025-12-17 13:59:38.792233, 6d.sql, 226.694, 3985.632, Bao
1, 23, 0, 2025-12-17 13:59:40.420867, 19b.sql, 626.925, 242.321, Bao
1, 23, 1, 2025-12-17 13:59:42.004908, 19b.sql, 616.867, 239.741, Bao
1, 23, 2, 2025-12-17 13:59:44.332924, 19b.sql, 585.369, 232.364, Bao
1, 24, 0, 2025-12-17 13:59:45.530350, 2c.sql, 260.766, 574.432, Bao
1, 24, 1, 2025-12-17 13:59:46.716059, 2c.sql, 259.323, 571.28, Bao
1, 24, 2, 2025-12-17 13:59:48.527474, 2c.sql, 223.942, 510.856, Bao
2, 0, 0, 2025-12-17 13:59:54.926582, 20c.sql, 489.147, 1040.861, Bao
2, 0, 1, 2025-12-17 13:59:57.018166, 20c.sql, 479.11, 1037.973, Bao
2, 0, 2, 2025-12-17 14:00:00.291381, 20c.sql, 450.178, 819.365, Bao
2, 1, 0, 2025-12-17 14:00:05.371120, 7b.sql, 336.924, 4191.518, Bao
2, 1, 1, 2025-12-17 14:00:10.300641, 7b.sql, 338.085, 4143.457, Bao
2, 1, 2, 2025-12-17 14:00:19.134255, 7b.sql, 309.805, 3986.824, Bao
2, 2, 0, 2025-12-17 14:00:21.873295, 22d.sql, 840.459, 941.195, Bao
2, 2, 1, 2025-12-17 14:00:24.572962, 22d.sql, 825.972, 935.327, Bao
2, 2, 2, 2025-12-17 14:00:28.835484, 22d.sql, 805.433, 798.432, Bao
2, 3, 0, 2025-12-17 14:00:32.824220, 17e.sql, 290.493, 3314.509, Bao
2, 3, 1, 2025-12-17 14:00:36.804606, 17e.sql, 299.326, 3275.138, Bao
2, 3, 2, 2025-12-17 14:00:43.742040, 17e.sql, 265.905, 3232.102, Bao
2, 4, 0, 2025-12-17 14:00:49.682055, 17c.sql, 292.906, 5265.775, Bao
2, 4, 1, 2025-12-17 14:00:55.710170, 17c.sql, 303.933, 5318.387, Bao
2, 4, 2, 2025-12-17 14:01:06.595445, 17c.sql, 252.117, 4985.848, Bao
2, 5, 0, 2025-12-17 14:01:10.720001, 27a.sql, 1935.219, 112.092, Bao
2, 5, 1, 2025-12-17 14:01:14.839799, 27a.sql, 1932.047, 113.777, Bao
2, 5, 2, 2025-12-17 14:01:20.890974, 27a.sql, 1897.49, 120.026, Bao
2, 6, 0, 2025-12-17 14:01:24.879153, 17e.sql, 298.476, 3283.795, Bao
2, 6, 1, 2025-12-17 14:01:28.848183, 17e.sql, 294.034, 3290.726, Bao
2, 6, 2, 2025-12-17 14:01:35.704829, 17e.sql, 276.939, 3213.822, Bao
2, 7, 0, 2025-12-17 14:01:47.679350, 28a.sql, 5414.905, 964.822, Bao
2, 7, 1, 2025-12-17 14:01:59.460341, 28a.sql, 5389.046, 889.244, Bao
2, 7, 2, 2025-12-17 14:02:17.562359, 28a.sql, 5370.861, 856.619, Bao
2, 8, 0, 2025-12-17 14:02:23.225890, 6f.sql, 266.282, 4946.841, Bao
2, 8, 1, 2025-12-17 14:02:28.784834, 6f.sql, 254.99, 4960.659, Bao
2, 8, 2, 2025-12-17 14:02:39.005014, 6f.sql, 243.737, 4842.034, Bao
2, 9, 0, 2025-12-17 14:02:40.152352, 21a.sql, 445.203, 166.173, Bao
2, 9, 1, 2025-12-17 14:02:41.322000, 21a.sql, 448.891, 170.126, Bao
2, 9, 2, 2025-12-17 14:02:42.984850, 21a.sql, 412.25, 156.854, Bao
2, 10, 0, 2025-12-17 14:02:50.446472, 16d.sql, 342.87, 6555.906, Bao
2, 10, 1, 2025-12-17 14:02:57.707277, 16d.sql, 334.558, 6498.8, Bao
2, 10, 2, 2025-12-17 14:03:11.133190, 16d.sql, 317.512, 6397.229, Bao
2, 11, 0, 2025-12-17 14:03:16.449554, 9d.sql, 337.118, 4454.373, Bao
2, 11, 1, 2025-12-17 14:03:21.899811, 9d.sql, 337.607, 4583.983, Bao
2, 11, 2, 2025-12-17 14:03:30.920366, 9d.sql, 316.143, 3852.264, Bao
2, 12, 0, 2025-12-17 14:03:34.562163, 25a.sql, 423.543, 2704.531, Bao
2, 12, 1, 2025-12-17 14:03:38.305276, 25a.sql, 508.559, 2689.546, Bao
2, 12, 2, 2025-12-17 14:03:44.692523, 25a.sql, 388.139, 2440.331, Bao
2, 13, 0, 2025-12-17 14:03:48.624287, 13a.sql, 387.811, 3052.958, Bao
2, 13, 1, 2025-12-17 14:03:52.386808, 13a.sql, 373.686, 2925.536, Bao
2, 13, 2, 2025-12-17 14:03:58.959307, 13a.sql, 344.093, 2797.521, Bao
2, 14, 0, 2025-12-17 14:04:00.264647, 11c.sql, 334.372, 534.304, Bao
2, 14, 1, 2025-12-17 14:04:01.590586, 11c.sql, 347.581, 541.272, Bao
2, 14, 2, 2025-12-17 14:04:03.578044, 11c.sql, 292.251, 547.581, Bao
2, 15, 0, 2025-12-17 14:04:05.225133, 13c.sql, 396.668, 755.018, Bao
2, 15, 1, 2025-12-17 14:04:06.864136, 13c.sql, 383.433, 759.398, Bao
2, 15, 2, 2025-12-17 14:04:09.487692, 13c.sql, 362.492, 726.39, Bao
2, 16, 0, 2025-12-17 14:06:12.738022, 29b.sql, 60299.225, 404.419, Bao
2, 16, 1, 2025-12-17 14:08:16.327502, 29b.sql, 60731.951, 420.555, Bao
2, 16, 2, 2025-12-17 14:11:20.751820, 29b.sql, 59219.208, 402.632, Bao
2, 17, 0, 2025-12-17 14:11:25.406708, 3c.sql, 255.415, 3976.086, Bao
2, 17, 1, 2025-12-17 14:11:30.319572, 3c.sql, 255.308, 4301.621, Bao
2, 17, 2, 2025-12-17 14:11:38.898935, 3c.sql, 231.777, 3813.605, Bao
2, 18, 0, 2025-12-17 14:11:40.078920, 21c.sql, 456.669, 169.994, Bao
2, 18, 1, 2025-12-17 14:11:41.260237, 21c.sql, 452.636, 173.38, Bao
2, 18, 2, 2025-12-17 14:11:42.931381, 21c.sql, 416.82, 153.479, Bao
2, 19, 0, 2025-12-17 14:11:44.005451, 12a.sql, 335.508, 297.438, Bao
2, 19, 1, 2025-12-17 14:11:45.074351, 12a.sql, 339.96, 298.377, Bao
2, 19, 2, 2025-12-17 14:11:46.669786, 12a.sql, 310.224, 285.736, Bao
2, 20, 0, 2025-12-17 14:11:49.410526, 20b.sql, 480.609, 1665.038, Bao
2, 20, 1, 2025-12-17 14:11:52.179807, 20b.sql, 491.89, 1665.716, Bao
2, 20, 2, 2025-12-17 14:11:56.731006, 20b.sql, 455.917, 1456.179, Bao
2, 21, 0, 2025-12-17 14:12:02.075387, 9d.sql, 348.307, 4446.107, Bao
2, 21, 1, 2025-12-17 14:12:07.593429, 9d.sql, 344.174, 4627.126, Bao
2, 21, 2, 2025-12-17 14:12:16.725095, 9d.sql, 308.131, 3870.561, Bao
2, 22, 0, 2025-12-17 14:12:24.197504, 25c.sql, 434.75, 6496.361, Bao
2, 22, 1, 2025-12-17 14:12:31.664436, 25c.sql, 443.191, 6486.986, Bao
2, 22, 2, 2025-12-17 14:12:45.666452, 25c.sql, 397.97, 6249.175, Bao
2, 23, 0, 2025-12-17 14:12:46.788409, 9a.sql, 348.827, 317.901, Bao
2, 23, 1, 2025-12-17 14:12:47.891375, 9a.sql, 342.693, 313.135, Bao
2, 23, 2, 2025-12-17 14:12:49.530636, 9a.sql, 312.895, 303.585, Bao
2, 24, 0, 2025-12-17 14:12:50.479422, 6b.sql, 254.944, 339.552, Bao
2, 24, 1, 2025-12-17 14:12:51.437747, 6b.sql, 262.848, 340.365, Bao
2, 24, 2, 2025-12-17 14:12:52.809851, 6b.sql, 223.528, 257.917, Bao
